a_ranking,b_score,c_movie_name,d_scoure_num
191,8.6,战争之王,199464
192,8.9,哪吒闹海,100872
193,8.6,完美陌生人,259231
194,8.5,谍影重重,227371
195,8.9,追随,95464
196,8.8,牯岭街少年杀人事件,128012
197,8.9,地球上的星星,101921
198,8.6,谍影重重2,189422
199,8.6,撞车,198308
200,8.6,黑客帝国3：矩阵革命,188358
201,8.9,惊魂记,101895
202,8.5,青蛇,264941
203,8.7,梦之安魂曲,129335
204,8.7,海街日记,171766
205,8.5,小萝莉的猴神大叔,213744
206,8.5,再次出发之纽约遇见你,208617
207,8.5,新龙门客栈,221357
208,8.8,步履不停,109930
209,8.4,源代码,464643
210,9.2,东京物语,61967
211,8.6,终结者2：审判日,167426
212,8.3,初恋这件小事,542944
213,8.3,疯狂的石头,378974
214,9.2,城市之光,54796
215,8.7,绿里奇迹,125533
216,8.8,爱在午夜降临前,140108
217,8.5,无耻混蛋,257664
218,8.7,末路狂花,121689
219,8.3,秒速5厘米,356586
220,8.5,这个男人来自地球,213537
221,8.6,勇闯夺命岛,162339
222,8.5,E.T. 外星人,181678
223,8.4,变脸,244231
224,8.7,碧海蓝天,116156
225,8.4,彗星来的那一夜,225206
226,8.6,卡萨布兰卡,142783
227,9.1,黄金三镖客,61308
228,8.5,发条橙,210891
229,8.8,聚焦,151306
230,8.6,血钻,160923
231,8.5,美国丽人,212079
232,8.6,海盗电台,182093
233,8.3,国王的演讲,389642
234,8.6,非常嫌疑犯,138902
235,8.6,荒野生存,145993
236,8.6,黑鹰坠落,140920
237,9.0,我爱你,70633
238,8.5,英国病人,193764
239,8.7,千钧一发,107480
240,8.5,遗愿清单,156294
241,8.7,2001太空漫游,115586
242,8.5,荒岛余生,159646
243,9.1,迁徙的鸟,56957
244,8.9,勇士,98195
245,8.7,枪火,116197
246,8.6,燕尾蝶,116950
247,8.6,叫我第一名,122470
248,9.0,海蒂和爷爷,66633
249,8.3,穆赫兰道,265718
250,8.6,大卫·戈尔的一生,113430
movie_name,ranking,score,scoure_num
肖申克的救赎,1,9.6,1236657
霸王别姬,2,9.6,910748
这个杀手不太冷,3,9.4,1136829
阿甘正传,4,9.4,974991
美丽人生,5,9.5,569724
泰坦尼克号,6,9.3,910763
千与千寻,7,9.3,904721
辛德勒的名单,8,9.5,511595
盗梦空间,9,9.3,990450
机器人总动员,10,9.3,657079
忠犬八公的故事,11,9.3,643251
三傻大闹宝莱坞,12,9.2,886254
海上钢琴师,13,9.2,739118
放牛班的春天,14,9.2,610314
大话西游之大圣娶亲,15,9.2,676921
楚门的世界,16,9.2,657406
星际穿越,17,9.2,670984
教父,18,9.2,448492
龙猫,19,9.1,581309
熔炉,20,9.3,382763
无间道,21,9.1,556067
当幸福来敲门,22,9.0,716676
触不可及,23,9.2,475584
怦然心动,24,9.0,774075
疯狂动物城,25,9.2,739038
